PAISES,Gasto_Edu_Total,Gasto_Edu_Pri,Gasto_Edu_Sec,Indice_Gini,EMISIONES_CO2,PBI
Argentina,4.8,99,20.6,42.9,176510,609631
Armenia,2.7,93,14.6,29.87,5819,874315
Australia,5.1,88,15,34.39,386439,25834
Austria,5.2,99,27.7,30.84,63691,1113996
Belarus,5,105,9.9,25.27,58969,23567
Belgium,2.5,104,24.5,27.21,84080,171658
Belize,7.9,62,24.5,53.26,403,302568
Brunei Darussalam,4.4,105,43.5,0,7981,8185
Cabo Verde,4.7,100,19.7,42.38,803,84601
Canada,5.3,98,18.3,33.3,542787,28771
Central African Republic,3.9,100,16.5,56.23,354,415398
Chile,5.4,100,18.7,44.44,84556,27853
Colombia,2.5,107,17.6,51.33,90252,1211
Costa Rica,6.7,105,5.3,48.18,7818,80678
Cuba,12.8,95,51.9,0,22938,280839
Dominican Republic,5,114,18.8,41.91,29093,2847
Ecuador,4.1,101,5.3,45.71,33279,165424
Estonia,5.2,97,21.2,30.32,14370,177615
Finland,6.3,101,24.8,27.32,40704,2776544
Georgia,3.8,89,13.6,35.94,10444,121746
Greece,3.6,96,23,32.89,56130,24375
Guatemala,3.3,81,5.4,48.27,19617,2921
Guinea,2.2,59,8.2,33.72,2774,6060
Guinea Bissau,2.9,65,9.3,50.66,290,19349
Honduras,4.9,80,20.3,48.16,10631,262042
Hungary,4.6,96,23.1,29.61,49405,8700622
Ireland,3.4,100,15.9,31.35,32648,318409
Israel,6.2,102,18.7,39.01,62421,2326894
Italy,4.3,98,22.9,35.92,297352,25417
Jamaica,5.4,77,29.7,45.45,7882,5369479
Kazakhstan,2.9,102,21.2,27.79,267098,152902
Kenya,5.1,100,21.7,40.77,16414,21595
Kyrgyzstan,5.4,108,17.3,29.7,11457,44265
Liberia,2.3,61,17.7,35.26,1261,105444
Lithuania,3.9,104,17.9,35.7,13549,59592
Malawi,2.9,80,24,44.69,1385,863345
Malaysia,4.2,101,22.8,41.06,262171,21146
Mali,3.4,50,25.5,33.03,3482,16591
Malta,4.7,108,29.5,28.66,1555,281420
Mauritania,1.9,73,36.4,32.61,2666,26663
Mauritius,4.6,100,31.3,36.76,3628,16570
Mexico,4.3,102,14.4,45.37,407695,2203238
Morocco,6.2,58,4.9,39.54,67752,26347
Namibia,4.4,100,15.4,59.06,4013,20388
Nicaragua,3.5,51,7.4,46.15,5096,179511
Portugal,3.2,96,27.7,33.49,40433,29306
Rwanda,2.9,89,21.7,43.71,1014,3635868
Samoa,4,95,22.7,38.73,355,39548
Solomon Islands,3.6,100,23.8,37.05,306,534093
Thailand,3.1,69,14.9,34.85,255464,207415
Togo,6.8,105,15.3,43.05,2837,595368
Turkey,7.3,106,13.5,41.9,405203,65255
